Year,Month,Precip.,Temp_High,Temp_Low,DewPt_High,DewPt_Low,Humidity,Max Wind,Pressure
2014,1,0.0,29.774193548387096,15.096774193548388,16.451612903225808,12.387096774193548,67.54838709677419,8.387096774193548,1000.6309677419356
2014,2,0.0,34.357142857142854,20.035714285714285,17.892857142857142,13.464285714285714,53.82142857142857,11.392857142857142,995.6639285714284
2014,3,0.0,37.096774193548384,24.032258064516128,18.774193548387096,13.258064516129032,44.774193548387096,12.516129032258064,995.5496774193548
2014,4,24.0,37.56666666666667,26.866666666666667,22.566666666666663,18.73333333333333,56.23333333333333,12.433333333333334,994.1053333333332
2014,5,0.1,36.32258064516129,27.225806451612904,22.93548387096774,20.193548387096776,59.32258064516129,15.709677419354838,993.2674193548388
2014,6,32.6,32.43333333333333,26.666666666666668,24.2,21.9,72.43333333333334,12.766666666666667,990.4996666666666
2014,7,4.2,31.64516129032258,25.967741935483872,23.258064516129032,21.387096774193548,71.19354838709677,14.903225806451612,991.523870967742
2014,8,40.7,31.8,25.566666666666663,23.433333333333334,21.33333333333333,72.56666666666666,13.266666666666667,993.25
2014,9,2.8000000000000003,32.43333333333333,25.866666666666667,23.53333333333333,21.633333333333333,70.8,14.233333333333333,993.651
2014,10,42.2,31.258064516129032,23.677419354838708,24.0,21.967741935483872,81.38709677419355,7.903225806451613,997.3293548387096
2014,11,10.0,31.33333333333333,22.066666666666663,23.133333333333333,20.566666666666663,79.4,6.866666666666666,997.91
2014,12,1.0,30.225806451612904,19.161290322580644,19.83870967741936,16.516129032258064,71.54838709677419,8.225806451612904,999.8345161290322
2015,1,1.8,29.483870967741936,17.0,17.677419354838708,13.903225806451612,69.45161290322581,7.290322580645161,1000.4035483870967
2015,2,0.0,33.392857142857146,19.357142857142858,17.964285714285715,13.535714285714286,57.285714285714285,9.214285714285714,998.219642857143
2015,3,1.0,36.73333333333333,24.266666666666666,20.566666666666663,15.066666666666666,51.36666666666667,10.3,996.825
2015,4,0.5,36.53333333333333,26.23333333333333,21.8,17.333333333333332,55.06666666666667,12.8,995.3083333333332
2015,5,5.2,37.32258064516129,28.258064516129032,22.93548387096774,20.387096774193548,56.12903225806452,16.451612903225808,992.7680645161292
2015,6,22.4,34.766666666666666,27.3,23.366666666666667,21.5,64.23333333333333,18.966666666666665,992.595
2015,7,24.3,32.03225806451613,26.32258064516129,23.483870967741936,21.677419354838708,71.35483870967742,15.03225806451613,992.2
2015,8,25.8,32.774193548387096,26.0,23.161290322580644,21.12903225806452,68.6774193548387,16.548387096774192,992.9551612903226
2015,9,10.4,32.93333333333333,26.0,24.166666666666668,22.266666666666666,73.4,13.233333333333333,994.244
2015,10,2.1,31.41935483870968,23.870967741935484,24.516129032258064,22.32258064516129,81.74193548387096,8.403225806451612,997.7267741935484
2015,11,0.0,32.86666666666667,23.133333333333333,23.866666666666667,21.3,76.66666666666667,6.383333333333334,998.0603333333332
2015,12,0.4,31.161290322580644,20.483870967741936,21.41935483870968,18.06451612903226,72.7741935483871,7.370967741935484,999.9148387096774
2016,1,3.3,30.93548387096774,17.806451612903224,18.032258064516128,13.32258064516129,63.61290322580645,10.064516129032258,999.5983870967742
2016,2,0.0,33.241379310344826,18.86206896551724,17.79310344827586,12.724137931034482,57.241379310344826,8.551724137931034,1000.0486206896552
2016,3,0.0,37.12903225806452,25.580645161290324,19.806451612903224,14.129032258064516,46.64516129032258,17.193548387096776,996.3558064516128
2016,4,5.0,39.73333333333333,28.866666666666667,21.933333333333334,17.366666666666667,46.13333333333333,18.933333333333334,993.0693333333332
2016,5,0.2,38.064516129032256,28.35483870967742,22.90322580645161,18.83870967741936,54.41935483870968,15.32258064516129,992.278064516129
2016,6,18.5,32.666666666666664,25.866666666666667,24.366666666666667,22.33333333333333,75.53333333333333,11.966666666666669,993.128
2016,7,5.1,31.33333333333333,25.62962962962963,24.40740740740741,22.444444444444443,77.51851851851852,10.851851851851851,992.9185185185185
2016,8,0.9,31.741935483870968,26.12903225806452,24.161290322580644,21.967741935483872,72.7741935483871,14.209677419354838,991.1116129032258
2016,9,17.5,31.5,25.166666666666668,24.566666666666663,22.23333333333333,77.66666666666667,10.466666666666669,993.1073333333334
2016,10,34.0,31.774193548387096,24.483870967741936,25.032258064516128,22.741935483870968,81.3225806451613,7.225806451612903,994.381935483871
2016,11,17.8,31.066666666666663,22.633333333333333,23.9,21.0,81.26666666666667,5.5,997.494
2016,12,0.0,30.096774193548388,19.90322580645161,21.35483870967742,18.096774193548388,76.70967741935483,6.516129032258065,999.0912903225808
2017,1,1.3,30.032258064516128,20.35483870967742,21.161290322580644,18.548387096774192,76.83870967741936,5.967741935483871,998.7680645161292
2017,2,0.0,33.785714285714285,19.0,18.464285714285715,14.75,59.642857142857146,9.0,998.6292857142856
2017,3,0.0,36.83870967741935,24.35483870967742,19.90322580645161,15.258064516129032,49.0,12.03225806451613,995.2209677419356
2017,4,6.1,36.43333333333333,26.33333333333333,22.4,19.5,58.73333333333333,11.433333333333334,994.5896666666666
2017,5,4.3,34.29032258064516,26.193548387096776,24.967741935483872,22.774193548387096,74.09677419354838,9.387096774193548,993.2990322580646
2017,6,39.6,32.8,26.1,24.633333333333333,22.5,74.63333333333334,12.866666666666667,992.462
2017,7,20.4,31.258064516129032,25.516129032258064,24.451612903225808,22.35483870967742,76.7741935483871,13.774193548387096,992.201935483871
